bank_id,utr,date,credit
BANK0101,UTR000101,2026-08-06,1464.6
BANK0102,UTR000102,2026-08-04,4882.0
BANK0103,UTR000103,2026-08-03,19528.0
BANK0104,UTR000104,2026-08-11,1064.6
BANK0105,UTR000105,2026-08-12,1464.6
BANK0106,UTR000106,2026-08-03,732.3
BANK0107,UTR000107,2026-08-13,488.2
BANK0108,UTR000108,2026-08-06,732.3
BANK0109,UTR000109,2026-08-03,4882.0
BANK0110,UTR000110,2026-08-04,14646.0
BANK0111,UTR000111,2026-08-06,2041.0
BANK0112,UTR000112,2026-08-13,9364.0
BANK0113,UTR000113,2026-08-06,14646.0
BANK0114,UTR000114,2026-08-05,19528.0
BANK0115,UTR000115,2026-08-12,9764.0
BANK0116,UTR000116,2026-08-06,9764.0
BANK0117,UTR000117,2026-08-09,1464.6
BANK0118,UTR000118,2026-08-04,732.3
BANK0119,UTR000119,2026-08-13,7323.0
BANK0120,UTR000120,2026-08-08,7323.0
BANK0121,UTR000121,2026-08-09,9764.0
BANK0122,UTR000122,2026-08-03,732.3
BANK0123,UTR000123,2026-08-03,7323.0
BANK0124,UTR000124,2026-08-08,732.3
BANK0125,UTR000125,2026-08-06,1464.6
BANK0126,UTR000126,2026-08-06,14646.0
BANK0127,UTR000127,2026-08-10,976.4
BANK0128,UTR000128,2026-08-09,976.4
BANK0129,UTR000129,2026-08-07,9764.0
BANK0130,UTR000130,2026-08-20,732.3
BANK0131,UTR000131,2026-08-10,14646.0
BANK0132,UTR000132,2026-08-04,488.2
BANK0133,UTR000133,2026-08-13,14646.0
BANK0134,UTR000134,2026-08-03,732.3
BANK0135,UTR000135,2026-08-20,976.4
BANK0136,UTR000136,2026-08-09,9764.0
BANK0137,UTR000137,2026-08-10,1464.6
BANK0138,UTR000138,2026-08-09,488.2
BANK0139,UTR000139,2026-08-05,7323.0
BANK0140,UTR000140,2026-08-03,7323.0
BANK0141,UTR000141,2026-08-07,9764.0
BANK0142,UTR000142,2026-08-07,7323.0
BANK0143,UTR000143,2026-08-11,9764.0
BANK0144,UTR000144,2026-08-05,1464.6
BANK0145,UTR000145,2026-08-07,1464.6
BANK0146,UTR000146,2026-08-03,19528.0
BANK0147,UTR000147,2026-08-11,488.2
BANK0148,UTR000148,2026-08-08,488.2
BANK0149,UTR000149,2026-08-03,19528.0
BANK0150,UTR000150,2026-08-10,14646.0
BANK0151,UTR000151,2026-08-11,976.4
BANK0152,UTR000152,2026-08-03,14646.0
BANK0153,UTR000153,2026-08-04,976.4
BANK0154,UTR000154,2026-08-04,19528.0
BANK0155,UTR000155,2026-08-04,1464.6
BANK0156,UTR000156,2026-08-09,732.3
BANK0157,UTR000157,2026-08-12,1464.6
BANK0158,UTR000158,2026-08-12,19528.0
BANK0159,UTR000159,2026-08-03,19528.0
BANK0160,UTR000160,2026-08-04,7323.0
BANK0161,UTR000161,2026-08-13,19528.0
BANK0162,UTR000162,2026-08-12,14646.0
BANK0163,UTR000163,2026-08-08,2441.0
BANK0164,UTR000164,2026-08-06,4882.0
BANK0165,UTR000165,2026-08-06,2441.0
BANK0166,UTR000166,2026-08-09,976.4
BANK0167,UTR000167,2026-08-13,2441.0
BANK0168,UTR000168,2026-08-10,4882.0
BANK0169,UTR000169,2026-08-04,488.2
BANK0170,UTR000170,2026-08-10,19528.0
BANK0171,UTR000171,2026-08-12,732.3
BANK0172,UTR000172,2026-08-04,14646.0
BANK0173,UTR000173,2026-08-06,14646.0
BANK0174,UTR000174,2026-08-07,976.4
BANK0175,UTR000175,2026-08-08,732.3
BANK0176,UTR000176,2026-08-20,4882.0
BANK0177,UTR000177,2026-08-07,976.4
BANK0178,UTR000178,2026-08-10,14646.0
BANK0179,UTR000179,2026-08-07,19528.0
BANK0180,UTR000180,2026-08-13,14646.0
BANK0181,UTR000181,2026-08-03,14646.0
BANK0182,UTR000182,2026-08-07,332.29999999999995
BANK0183,UTR000183,2026-08-05,2441.0
BANK0184,UTR000184,2026-08-04,732.3
BANK0185,UTR000185,2026-08-11,976.4
BANK0186,UTR000186,2026-08-07,2441.0
BANK0187,UTR000187,2026-08-12,1464.6
BANK0188,UTR000188,2026-08-08,1464.6
BANK0189,UTR000189,2026-08-13,2441.0
BANK0190,UTR000190,2026-08-11,9764.0
BANK0191,WRONG000191,2026-08-07,488.2
BANK0192,UTR000192,2026-08-04,7323.0
BANK0193,UTR000193,2026-08-07,488.2
BANK0194,UTR000194,2026-08-03,4882.0
BANK0195,UTR000195,2026-08-05,2441.0
BANK0196,UTR000196,2026-08-05,9764.0
BANK0197,UTR000197,2026-08-11,7323.0
BANK0198,UTR000198,2026-08-11,488.2
BANK0199,WRONG000199,2026-08-04,732.3
BANK0200,UTR000200,2026-08-05,14646.0
BANK0201,UTR000201,2026-08-03,4882.0
BANK0202,UTR000202,2026-08-12,14646.0
BANK0203,UTR000203,2026-08-05,7323.0
BANK0204,UTR000204,2026-08-05,488.2
BANK0205,UTR000205,2026-08-20,4882.0
BANK0206,UTR000206,2026-08-03,4882.0
BANK0207,UTR000207,2026-08-06,1064.6
BANK0208,UTR000208,2026-08-13,732.3
BANK0209,UTR000209,2026-08-08,14646.0
BANK0210,UTR000210,2026-08-09,19528.0
BANK0211,UTR000211,2026-08-05,1464.6
BANK0212,UTR000212,2026-08-05,576.4
BANK0213,UTR000213,2026-08-09,488.2
BANK0214,UTR000214,2026-08-05,4882.0
BANK0215,UTR000215,2026-08-09,1464.6
BANK0216,UTR000216,2026-08-07,576.4
BANK0217,UTR000217,2026-08-04,7323.0
BANK0218,UTR000218,2026-08-03,9764.0
BANK0219,UTR000219,2026-08-06,1464.6
BANK0220,UTR000220,2026-08-10,4882.0
BANK0221,UTR000221,2026-08-07,1464.6
BANK0222,UTR000222,2026-08-06,488.2
BANK0223,UTR000223,2026-08-13,1464.6
BANK0224,UTR000224,2026-08-09,4882.0
BANK0225,UTR000225,2026-08-07,732.3
BANK0226,UTR000226,2026-08-07,4882.0
BANK0227,UTR000227,2026-08-13,14646.0
BANK0228,UTR000228,2026-08-09,14646.0
BANK0229,UTR000229,2026-08-08,488.2
BANK0230,UTR000230,2026-08-04,2441.0
BANK0231,UTR000231,2026-08-05,19528.0
BANK0232,UTR000232,2026-08-07,488.2
BANK0233,UTR000233,2026-08-04,19528.0
BANK0234,UTR000234,2026-08-09,4882.0
BANK0235,UTR000235,2026-08-08,7323.0
BANK0236,UTR000236,2026-08-12,14646.0
BANK0237,UTR000237,2026-08-04,7323.0
BANK0238,UTR000238,2026-08-12,1464.6
BANK0239,UTR000239,2026-08-07,488.2
BANK0240,UTR000240,2026-08-09,488.2
BANK0241,UTR000241,2026-08-11,14646.0
BANK0242,UTR000242,2026-08-13,1464.6
BANK0243,UTR000243,2026-08-08,7323.0
BANK0244,UTR000244,2026-08-04,4882.0
BANK0245,UTR000245,2026-08-12,4882.0
BANK0246,UTR000246,2026-08-13,732.3
BANK0247,UTR000247,2026-08-07,14646.0
BANK0248,UTR000248,2026-08-07,7323.0
BANK0249,UTR000249,2026-08-08,7323.0
BANK0250,UTR000250,2026-08-07,14646.0
BANK0251,UTR000251,2026-08-05,1464.6
BANK0252,UTR000252,2026-08-09,7323.0
BANK0253,UTR000253,2026-08-13,976.4
BANK0254,UTR000254,2026-08-12,19528.0
BANK0255,UTR000255,2026-08-07,7323.0
BANK0256,UTR000256,2026-08-11,488.2
BANK0257,UTR000257,2026-08-07,2441.0
BANK0258,UTR000258,2026-08-06,7323.0
BANK0259,UTR000259,2026-08-12,19528.0
BANK0260,UTR000260,2026-08-13,4882.0
BANK0261,UTR000261,2026-08-10,9764.0
BANK0262,UTR000262,2026-08-10,1464.6
BANK0263,UTR000263,2026-08-11,9764.0
BANK0264,UTR000264,2026-08-05,732.3
BANK0265,UTR000265,2026-08-07,14646.0
BANK0266,UTR000266,2026-08-13,19528.0
BANK0267,UTR000267,2026-08-08,732.3
BANK0268,UTR000268,2026-08-06,2441.0
BANK0269,UTR000269,2026-08-06,1464.6
BANK0270,UTR000270,2026-08-05,488.2
BANK0271,UTR000271,2026-08-03,1464.6
BANK0272,UTR000272,2026-08-10,19528.0
BANK0273,UTR000273,2026-08-04,9764.0
BANK0274,UTR000274,2026-08-09,19528.0
BANK0275,UTR000275,2026-08-06,7323.0
BANK0276,UTR000276,2026-08-10,7323.0
BANK0277,WRONG000277,2026-08-06,976.4
BANK0278,UTR000278,2026-08-13,488.2
BANK0279,UTR000279,2026-08-04,7323.0
BANK0280,UTR000280,2026-08-06,976.4
BANK0281,UTR000281,2026-08-11,9764.0
BANK0282,UTR000282,2026-08-03,14646.0
BANK0283,UTR000283,2026-08-06,732.3
BANK0284,UTR000284,2026-08-10,976.4
BANK0285,UTR000285,2026-08-10,14646.0
BANK0286,UTR000286,2026-08-11,19528.0
BANK0287,UTR000287,2026-08-20,9764.0
BANK0288,UTR000288,2026-08-12,14646.0
BANK0289,UTR000289,2026-08-09,14646.0
BANK0290,UTR000290,2026-08-10,976.4
BANK0291,UTR000291,2026-08-10,9764.0
BANK0292,UTR000292,2026-08-07,1464.6
BANK0293,UTR000293,2026-08-13,2441.0
BANK0294,UTR000294,2026-08-11,9764.0
BANK0295,UTR000295,2026-08-13,1464.6
BANK0296,UTR000296,2026-08-07,9764.0
BANK0297,UTR000297,2026-08-04,2441.0
BANK0298,UTR000298,2026-08-06,2441.0
BANK0299,UTR000299,2026-08-08,4882.0
BANK0300,UTR000300,2026-08-11,732.3
BANK0301,UTR000301,2026-08-05,976.4
BANK0302,UTR000302,2026-08-06,7323.0
BANK0303,UTR000303,2026-08-05,1464.6
BANK0304,UTR000304,2026-08-04,7323.0
BANK0305,UTR000305,2026-08-09,4882.0
BANK0306,UTR000306,2026-08-11,9764.0
BANK0307,UTR000307,2026-08-09,488.2
BANK0308,UTR000308,2026-08-06,7323.0
BANK0309,UTR000309,2026-08-09,19528.0
BANK0310,UTR000310,2026-08-03,19528.0
BANK0311,UTR000311,2026-08-09,9764.0
BANK0312,UTR000312,2026-08-03,4882.0
BANK0313,UTR000313,2026-08-07,7323.0
BANK0314,UTR000314,2026-08-09,14646.0
BANK0315,UTR000315,2026-08-11,19528.0
BANK0316,UTR000316,2026-08-06,9764.0
BANK0317,UTR000317,2026-08-06,2441.0
BANK0318,UTR000318,2026-08-09,9764.0
BANK0319,UTR000319,2026-08-03,7323.0
BANK0320,UTR000320,2026-08-08,7323.0
BANK0321,UTR000321,2026-08-05,9764.0
BANK0322,UTR000322,2026-08-05,19528.0
BANK0323,UTR000323,2026-08-11,488.2
BANK0324,UTR000324,2026-08-09,19528.0
BANK0325,UTR000325,2026-08-12,488.2
BANK0326,UTR000326,2026-08-04,6923.0
BANK0327,WRONG000327,2026-08-05,9764.0
BANK0328,UTR000328,2026-08-05,488.2
BANK0329,UTR000329,2026-08-07,7323.0
BANK0330,UTR000330,2026-08-08,1464.6
BANK0331,UTR000331,2026-08-10,4882.0
BANK0332,UTR000332,2026-08-08,7323.0
BANK0333,UTR000333,2026-08-07,7323.0
BANK0334,UTR000334,2026-08-07,732.3
BANK0335,UTR000335,2026-08-10,488.2
BANK0336,UTR000336,2026-08-11,488.2
BANK0337,UTR000337,2026-08-08,1464.6
BANK0338,UTR000338,2026-08-13,732.3
BANK0339,UTR000339,2026-08-13,488.2
BANK0340,UTR000340,2026-08-03,1464.6
BANK0341,UTR000341,2026-08-06,488.2
BANK0342,UTR000342,2026-08-12,976.4
BANK0343,UTR000343,2026-08-06,976.4
BANK0344,UTR000344,2026-08-10,732.3
BANK0345,UTR000345,2026-08-12,1464.6
BANK0346,UTR000346,2026-08-10,2441.0
BANK0347,UTR000347,2026-08-08,976.4
BANK0348,UTR000348,2026-08-12,19528.0
BANK0349,UTR000349,2026-08-20,976.4
BANK0350,UTR000350,2026-08-07,732.3
BANK0351,UTR000351,2026-08-12,488.2
BANK0352,UTR000352,2026-08-07,19528.0
BANK0353,UTR000353,2026-08-13,7323.0
BANK0354,UTR000354,2026-08-09,1464.6
BANK0355,UTR000355,2026-08-04,19528.0
BANK0356,UTR000356,2026-08-13,1464.6
BANK0357,UTR000357,2026-08-04,2441.0
BANK0358,UTR000358,2026-08-13,19528.0
BANK0359,UTR000359,2026-08-04,19528.0
BANK0360,UTR000360,2026-08-03,4882.0
BANK0361,UTR000361,2026-08-11,7323.0
BANK0362,UTR000362,2026-08-13,4882.0
BANK0363,UTR000363,2026-08-04,14646.0
BANK0364,UTR000364,2026-08-13,4882.0
BANK0365,UTR000365,2026-08-03,7323.0
BANK0366,UTR000366,2026-08-10,732.3
BANK0367,UTR000367,2026-08-09,4882.0
BANK0368,UTR000368,2026-08-13,9764.0
BANK0369,UTR000369,2026-08-05,7323.0
BANK0370,UTR000370,2026-08-05,14646.0
BANK0371,UTR000371,2026-08-13,2441.0
BANK0372,UTR000372,2026-08-12,14646.0
BANK0373,UTR000373,2026-08-10,9764.0
BANK0374,UTR000374,2026-08-09,19528.0
BANK0375,UTR000375,2026-08-07,4882.0
BANK0376,UTR000376,2026-08-06,732.3
BANK0377,UTR000377,2026-08-07,9764.0
BANK0378,UTR000378,2026-08-06,9764.0
BANK0379,UTR000379,2026-08-12,19528.0
BANK0380,UTR000380,2026-08-13,7323.0
BANK0381,UTR000381,2026-08-08,488.2
BANK0382,UTR000382,2026-08-10,4882.0
BANK0383,UTR000383,2026-08-05,9764.0
BANK0384,UTR000384,2026-08-06,4882.0
BANK0385,UTR000385,2026-08-07,4882.0
BANK0386,UTR000386,2026-08-07,19528.0
BANK0387,UTR000387,2026-08-07,14646.0
BANK0388,UTR000388,2026-08-03,14646.0
BANK0389,UTR000389,2026-08-06,732.3
BANK0390,UTR000390,2026-08-06,7323.0
BANK0391,UTR000391,2026-08-10,14646.0
BANK0392,UTR000392,2026-08-06,9764.0
BANK0393,UTR000393,2026-08-13,9764.0
BANK0394,UTR000394,2026-08-10,488.2
BANK0395,UTR000395,2026-08-04,2441.0
BANK0396,UTR000396,2026-08-06,7323.0
BANK0397,UTR000397,2026-08-06,2441.0
BANK0398,UTR000398,2026-08-13,19528.0
BANK0399,UTR000399,2026-08-08,9764.0
BANK0400,UTR000400,2026-08-11,14646.0
BANK0401,UTR000401,2026-08-08,7323.0
BANK0402,UTR000402,2026-08-11,4882.0
BANK0403,UTR000403,2026-08-08,9764.0
BANK0404,UTR000404,2026-08-07,2441.0
BANK0405,UTR000405,2026-08-07,1464.6
BANK0406,UTR000406,2026-08-04,1464.6
BANK0407,UTR000407,2026-08-08,732.3
BANK0408,UTR000408,2026-08-11,976.4
BANK0409,UTR000409,2026-08-06,1464.6
BANK0410,UTR000410,2026-08-10,2441.0
BANK0411,UTR000411,2026-08-12,14646.0
BANK0412,UTR000412,2026-08-12,2441.0
BANK0413,UTR000413,2026-08-04,1464.6
BANK0414,UTR000414,2026-08-07,1464.6
BANK0415,UTR000415,2026-08-08,976.4
BANK0416,UTR000416,2026-08-07,488.2
BANK0417,UTR000417,2026-08-11,976.4
BANK0418,UTR000418,2026-08-07,488.2
BANK0419,UTR000419,2026-08-03,14646.0
BANK0420,UTR000420,2026-08-07,976.4
BANK0421,UTR000421,2026-08-13,9764.0
BANK0422,UTR000422,2026-08-04,488.2
BANK0423,UTR000423,2026-08-12,2041.0
BANK0424,WRONG000424,2026-08-10,9764.0
BANK0425,UTR000425,2026-08-10,4882.0
BANK0426,UTR000426,2026-08-05,488.2
BANK0427,UTR000427,2026-08-07,9764.0
BANK0428,UTR000428,2026-08-04,732.3
BANK0429,WRONG000429,2026-08-09,9764.0
BANK0430,UTR000430,2026-08-04,19528.0
BANK0431,UTR000431,2026-08-13,488.2
BANK0432,UTR000432,2026-08-05,976.4
BANK0433,UTR000433,2026-08-12,2441.0
BANK0434,UTR000434,2026-08-04,1464.6
BANK0435,UTR000435,2026-08-04,14646.0
BANK0436,UTR000436,2026-08-09,19528.0
BANK0437,UTR000437,2026-08-12,19528.0
BANK0438,UTR000438,2026-08-06,14646.0
BANK0439,UTR000439,2026-08-09,9764.0
BANK0440,UTR000440,2026-08-10,2441.0
BANK0441,UTR000441,2026-08-12,7323.0
BANK0442,UTR000442,2026-08-07,19528.0
BANK0443,UTR000443,2026-08-12,488.2
BANK0444,UTR000444,2026-08-12,732.3
BANK0445,UTR000445,2026-08-06,1464.6
BANK0446,UTR000446,2026-08-07,732.3
BANK0447,UTR000447,2026-08-05,1464.6
BANK0448,UTR000448,2026-08-05,14646.0
BANK0449,UTR000449,2026-08-04,976.4
BANK0450,UTR000450,2026-08-03,7323.0
BANK0451,UTR000451,2026-08-10,19528.0
BANK0452,UTR000452,2026-08-10,2441.0
BANK0453,UTR000453,2026-08-03,1464.6
BANK0454,UTR000454,2026-08-07,2441.0
BANK0455,UTR000455,2026-08-10,732.3
BANK0456,UTR000456,2026-08-13,1464.6
BANK0457,UTR000457,2026-08-07,19528.0
BANK0458,UTR000458,2026-08-13,1464.6
BANK0459,UTR000459,2026-08-09,732.3
BANK0460,UTR000460,2026-08-11,1464.6
BANK0461,UTR000461,2026-08-13,976.4
BANK0462,UTR000462,2026-08-07,976.4
BANK0463,UTR000463,2026-08-04,488.2
BANK0464,UTR000464,2026-08-05,2441.0
BANK0465,UTR000465,2026-08-12,19528.0
BANK0466,UTR000466,2026-08-07,9764.0
BANK0467,UTR000467,2026-08-04,9764.0
BANK0468,WRONG000468,2026-08-07,7323.0
BANK0469,UTR000469,2026-08-07,14646.0
BANK0470,UTR000470,2026-08-11,9364.0
BANK0471,UTR000471,2026-08-10,732.3
BANK0472,UTR000472,2026-08-12,488.2
BANK0473,UTR000473,2026-08-09,4882.0
BANK0474,UTR000474,2026-08-12,2441.0
BANK0475,UTR000475,2026-08-03,732.3
BANK0476,UTR000476,2026-08-06,19528.0
BANK0477,UTR000477,2026-08-12,488.2
BANK0478,UTR000478,2026-08-13,2441.0
BANK0479,UTR000479,2026-08-12,488.2
BANK0480,UTR000480,2026-08-05,9764.0
BANK0481,UTR000481,2026-08-11,9764.0
BANK0482,UTR000482,2026-08-07,976.4
BANK0483,UTR000483,2026-08-12,7323.0
BANK0484,WRONG000484,2026-08-13,9764.0
BANK0485,UTR000485,2026-08-04,9764.0
BANK0486,UTR000486,2026-08-08,7323.0
BANK0487,UTR000487,2026-08-08,4882.0
BANK0488,UTR000488,2026-08-13,732.3
BANK0489,UTR000489,2026-08-05,4882.0
BANK0490,UTR000490,2026-08-09,9764.0
BANK0491,WRONG000491,2026-08-07,7323.0
BANK0492,UTR000492,2026-08-11,488.2
BANK0493,UTR000493,2026-08-10,732.3
BANK0494,UTR000494,2026-08-08,2441.0
BANK0495,UTR000495,2026-08-08,732.3
BANK0496,UTR000496,2026-08-09,14646.0
BANK0497,UTR000497,2026-08-03,14646.0
BANK0498,UTR000498,2026-08-10,7323.0
BANK0499,UTR000499,2026-08-03,1464.6
BANK0500,UTR000500,2026-08-11,4882.0
BANKD0001,UTR000296,2026-08-07,9764.0
BANKD0002,UTR000178,2026-08-10,14646.0
BANKD0003,UTR000073,2026-08-09,976.4
BANKD0004,UTR000417,2026-08-11,976.4
BANKD0005,UTR000266,2026-08-13,19528.0
BANKD0006,UTR000361,2026-08-11,7323.0
BANKD0007,UTR000499,2026-08-03,1464.6
BANKD0008,UTR000411,2026-08-12,14646.0
BANKD0009,UTR000310,2026-08-03,19528.0
BANKD0010,UTR000350,2026-08-07,732.3
