ledger_id,payment_id,date,type,amount
LED0189,PAY0189,2026-08-11,CREDIT,2500
LED0190,PAY0190,2026-08-09,CREDIT,10000
LED0191,PAY0191,2026-08-05,CREDIT,500
LED0192,PAY0192,2026-08-02,CREDIT,7500
LED0193,PAY0193,2026-08-05,CREDIT,500
LED0194,PAY0194,2026-08-01,CREDIT,5000
LED0195,PAY0195,2026-08-03,CREDIT,2500
LED0196,PAY0196,2026-08-03,CREDIT,10000
LED0197,PAY0197,2026-08-09,CREDIT,7500
LED0198,PAY0198,2026-08-09,CREDIT,500
LED0199,PAY0199,2026-08-02,CREDIT,750
LED0200,PAY0200,2026-08-03,CREDIT,15000
LED0201,PAY0201,2026-08-01,CREDIT,5000
LED0202,PAY0202,2026-08-10,CREDIT,15000
LED0203,PAY0203,2026-08-03,CREDIT,7500
LED0204,PAY0204,2026-08-03,CREDIT,500
LED0205,PAY0205,2026-08-05,CREDIT,5000
LED0206,PAY0206,2026-08-01,CREDIT,5000
LED0207,PAY0207,2026-08-04,CREDIT,1500
LED0208,PAY0208,2026-08-11,CREDIT,750
LED0209,PAY0209,2026-08-06,CREDIT,15000
LED0210,PAY0210,2026-08-07,CREDIT,20000
LED0211,PAY0211,2026-08-03,CREDIT,1500
LED0212,PAY0212,2026-08-03,CREDIT,1000
LED0213,PAY0213,2026-08-07,CREDIT,500
LED0214,PAY0214,2026-08-03,CREDIT,5000
LED0215,PAY0215,2026-08-07,CREDIT,1500
LED0216,PAY0216,2026-08-05,CREDIT,1000
LED0217,PAY0217,2026-08-02,CREDIT,7500
LED0218,PAY0218,2026-08-01,CREDIT,10000
LED0219,PAY0219,2026-08-04,CREDIT,1500
LED0220,PAY0220,2026-08-08,CREDIT,5000
LED0221,PAY0221,2026-08-05,CREDIT,1500
LED0222,PAY0222,2026-08-04,CREDIT,500
LED0223,PAY0223,2026-08-11,CREDIT,1500
LED0224,PAY0224,2026-08-07,CREDIT,5000
LED0225,PAY0225,2026-08-05,CREDIT,750
LED0226,PAY0226,2026-08-05,CREDIT,5000
LED0227,PAY0227,2026-08-11,CREDIT,15000
LED0228,PAY0228,2026-08-07,CREDIT,15000
LED0229,PAY0229,2026-08-06,CREDIT,500
LED0230,PAY0230,2026-08-02,CREDIT,2500
LED0231,PAY0231,2026-08-03,CREDIT,20000
LED0232,PAY0232,2026-08-05,CREDIT,500
LED0233,PAY0233,2026-08-02,CREDIT,20000
LED0234,PAY0234,2026-08-07,CREDIT,5000
LED0235,PAY0235,2026-08-06,CREDIT,7500
LED0236,PAY0236,2026-08-10,CREDIT,15000
LED0237,PAY0237,2026-08-02,CREDIT,7500
LED0238,PAY0238,2026-08-10,CREDIT,1500
LED0239,PAY0239,2026-08-05,CREDIT,500
LED0240,PAY0240,2026-08-07,CREDIT,500
LED0241,PAY0241,2026-08-09,CREDIT,15000
LED0242,PAY0242,2026-08-11,CREDIT,1500
LED0243,PAY0243,2026-08-06,CREDIT,7500
LED0244,PAY0244,2026-08-02,CREDIT,5000
LED0245,PAY0245,2026-08-10,CREDIT,5000
LED0246,PAY0246,2026-08-11,CREDIT,750
LED0247,PAY0247,2026-08-05,CREDIT,15000
LED0248,PAY0248,2026-08-05,CREDIT,7500
LED0249,PAY0249,2026-08-06,CREDIT,7500
LED0250,PAY0250,2026-08-05,CREDIT,15000
LED0251,PAY0251,2026-08-03,CREDIT,1500
LED0252,PAY0252,2026-08-07,CREDIT,7500
LED0253,PAY0253,2026-08-11,CREDIT,1000
LED0254,PAY0254,2026-08-10,CREDIT,20000
LED0255,PAY0255,2026-08-05,CREDIT,7500
LED0256,PAY0256,2026-08-09,CREDIT,500
LED0257,PAY0257,2026-08-05,CREDIT,2500
LED0258,PAY0258,2026-08-04,CREDIT,7500
LED0259,PAY0259,2026-08-10,CREDIT,20000
LED0260,PAY0260,2026-08-11,CREDIT,5000
LED0261,PAY0261,2026-08-08,CREDIT,10000
LED0262,PAY0262,2026-08-08,CREDIT,1500
LED0263,PAY0263,2026-08-09,CREDIT,10000
LED0264,PAY0264,2026-08-03,CREDIT,750
LED0265,PAY0265,2026-08-05,CREDIT,15000
LED0266,PAY0266,2026-08-11,CREDIT,20000
LED0267,PAY0267,2026-08-06,CREDIT,750
LED0268,PAY0268,2026-08-04,CREDIT,2500
LED0269,PAY0269,2026-08-04,CREDIT,1500
LED0270,PAY0270,2026-08-03,CREDIT,500
LED0271,PAY0271,2026-08-01,CREDIT,1500
LED0272,PAY0272,2026-08-08,CREDIT,20000
LED0273,PAY0273,2026-08-02,CREDIT,10000
LED0274,PAY0274,2026-08-07,CREDIT,20000
LED0275,PAY0275,2026-08-04,CREDIT,7500
LED0276,PAY0276,2026-08-08,CREDIT,7500
LED0277,PAY0277,2026-08-04,CREDIT,1000
LED0278,PAY0278,2026-08-11,CREDIT,500
LED0279,PAY0279,2026-08-02,CREDIT,7500
LED0280,PAY0280,2026-08-04,CREDIT,1000
LED0281,PAY0281,2026-08-09,CREDIT,10000
LED0282,PAY0282,2026-08-01,CREDIT,15000
LED0283,PAY0283,2026-08-04,CREDIT,750
LED0284,PAY0284,2026-08-08,CREDIT,1000
LED0285,PAY0285,2026-08-08,CREDIT,15000
LED0286,PAY0286,2026-08-09,CREDIT,20000
LED0287,PAY0287,2026-08-06,CREDIT,10000
LED0288,PAY0288,2026-08-10,CREDIT,15000
LED0289,PAY0289,2026-08-07,CREDIT,15000
LED0290,PAY0290,2026-08-08,CREDIT,1000
LED0291,PAY0291,2026-08-08,CREDIT,10000
LED0292,PAY0292,2026-08-05,CREDIT,1500
LED0293,PAY0293,2026-08-11,CREDIT,2500
LED0294,PAY0294,2026-08-09,CREDIT,10000
LED0295,PAY0295,2026-08-11,CREDIT,1500
LED0296,PAY0296,2026-08-05,CREDIT,10000
LED0297,PAY0297,2026-08-02,CREDIT,2500
LED0298,PAY0298,2026-08-04,CREDIT,2500
LED0299,PAY0299,2026-08-06,CREDIT,5000
LED0300,PAY0300,2026-08-09,CREDIT,750
LED0301,PAY0301,2026-08-03,CREDIT,1000
LED0302,PAY0302,2026-08-04,CREDIT,7500
LED0303,PAY0303,2026-08-03,CREDIT,1500
LED0304,PAY0304,2026-08-02,CREDIT,7500
LED0305,PAY0305,2026-08-07,CREDIT,5000
LED0306,PAY0306,2026-08-09,CREDIT,10000
LED0307,PAY0307,2026-08-07,CREDIT,500
LED0308,PAY0308,2026-08-04,CREDIT,7500
LED0309,PAY0309,2026-08-07,CREDIT,20000
LED0310,PAY0310,2026-08-01,CREDIT,20000
LED0311,PAY0311,2026-08-07,CREDIT,10000
LED0312,PAY0312,2026-08-01,CREDIT,5000
LED0313,PAY0313,2026-08-05,CREDIT,7500
LED0314,PAY0314,2026-08-07,CREDIT,15000
LED0315,PAY0315,2026-08-09,CREDIT,20000
LED0316,PAY0316,2026-08-04,CREDIT,10000
LED0317,PAY0317,2026-08-04,CREDIT,2500
LED0318,PAY0318,2026-08-07,CREDIT,10000
LED0319,PAY0319,2026-08-01,CREDIT,7500
LED0320,PAY0320,2026-08-06,CREDIT,7500
LED0321,PAY0321,2026-08-03,CREDIT,10000
LED0322,PAY0322,2026-08-03,CREDIT,20000
LED0323,PAY0323,2026-08-09,CREDIT,500
LED0324,PAY0324,2026-08-07,CREDIT,20000
LED0325,PAY0325,2026-08-10,CREDIT,500
LED0326,PAY0326,2026-08-02,CREDIT,7500
LED0327,PAY0327,2026-08-03,CREDIT,10000
LED0328,PAY0328,2026-08-03,CREDIT,500
LED0329,PAY0329,2026-08-05,CREDIT,7500
LED0330,PAY0330,2026-08-06,CREDIT,1500
LED0331,PAY0331,2026-08-08,CREDIT,5000
LED0332,PAY0332,2026-08-06,CREDIT,7500
LED0333,PAY0333,2026-08-05,CREDIT,7500
LED0334,PAY0334,2026-08-05,CREDIT,750
LED0335,PAY0335,2026-08-08,CREDIT,500
LED0336,PAY0336,2026-08-09,CREDIT,500
LED0337,PAY0337,2026-08-06,CREDIT,1500
LED0338,PAY0338,2026-08-11,CREDIT,750
LED0339,PAY0339,2026-08-11,CREDIT,500
LED0340,PAY0340,2026-08-01,CREDIT,1500
LED0341,PAY0341,2026-08-04,CREDIT,500
LED0342,PAY0342,2026-08-10,CREDIT,1000
LED0343,PAY0343,2026-08-04,CREDIT,1000
LED0344,PAY0344,2026-08-08,CREDIT,750
LED0345,PAY0345,2026-08-10,CREDIT,1500
LED0346,PAY0346,2026-08-08,CREDIT,2500
LED0347,PAY0347,2026-08-06,CREDIT,1000
LED0348,PAY0348,2026-08-10,CREDIT,20000
LED0349,PAY0349,2026-08-02,CREDIT,1000
LED0350,PAY0350,2026-08-05,CREDIT,750
LED0351,PAY0351,2026-08-10,CREDIT,500
LED0352,PAY0352,2026-08-05,CREDIT,20000
LED0353,PAY0353,2026-08-11,CREDIT,7500
LED0354,PAY0354,2026-08-07,CREDIT,1500
LED0355,PAY0355,2026-08-02,CREDIT,20000
LED0356,PAY0356,2026-08-11,CREDIT,1500
LED0357,PAY0357,2026-08-02,CREDIT,2500
LED0358,PAY0358,2026-08-11,CREDIT,20000
LED0359,PAY0359,2026-08-02,CREDIT,20000
LED0360,PAY0360,2026-08-01,CREDIT,5000
LED0361,PAY0361,2026-08-09,CREDIT,7500
LED0362,PAY0362,2026-08-11,CREDIT,5000
LED0363,PAY0363,2026-08-02,CREDIT,15000
LED0364,PAY0364,2026-08-11,CREDIT,5000
LED0365,PAY0365,2026-08-01,CREDIT,7500
LED0366,PAY0366,2026-08-08,CREDIT,750
LED0367,PAY0367,2026-08-07,CREDIT,5000
LED0368,PAY0368,2026-08-11,CREDIT,10000
LED0369,PAY0369,2026-08-03,CREDIT,7500
LED0370,PAY0370,2026-08-03,CREDIT,15000
LED0371,PAY0371,2026-08-11,CREDIT,2500
LED0372,PAY0372,2026-08-10,CREDIT,15000
LED0373,PAY0373,2026-08-08,CREDIT,10000
LED0374,PAY0374,2026-08-07,CREDIT,20000
LED0375,PAY0375,2026-08-05,CREDIT,5000
LED0376,PAY0376,2026-08-04,CREDIT,750
LED0377,PAY0377,2026-08-05,CREDIT,10000
LED0378,PAY0378,2026-08-04,CREDIT,10000
LED0379,PAY0379,2026-08-10,CREDIT,20000
LED0380,PAY0380,2026-08-11,CREDIT,7500
LED0381,PAY0381,2026-08-06,CREDIT,500
LED0382,PAY0382,2026-08-08,CREDIT,5000
LED0383,PAY0383,2026-08-03,CREDIT,10000
LED0384,PAY0384,2026-08-04,CREDIT,5000
LED0385,PAY0385,2026-08-05,CREDIT,5000
LED0386,PAY0386,2026-08-05,CREDIT,20000
LED0387,PAY0387,2026-08-05,CREDIT,15000
LED0388,PAY0388,2026-08-01,CREDIT,15000
LED0389,PAY0389,2026-08-04,CREDIT,750
LED0390,PAY0390,2026-08-04,CREDIT,7500
LED0391,PAY0391,2026-08-08,CREDIT,15000
LED0392,PAY0392,2026-08-04,CREDIT,10000
LED0393,PAY0393,2026-08-11,CREDIT,10000
LED0394,PAY0394,2026-08-08,CREDIT,500
LED0395,PAY0395,2026-08-02,CREDIT,2500
LED0396,PAY0396,2026-08-04,CREDIT,7500
LED0397,PAY0397,2026-08-04,CREDIT,2500
LED0398,PAY0398,2026-08-11,CREDIT,20000
LED0399,PAY0399,2026-08-06,CREDIT,10000
LED0400,PAY0400,2026-08-09,CREDIT,15000
LED0401,PAY0401,2026-08-06,CREDIT,7500
LED0402,PAY0402,2026-08-09,CREDIT,5000
LED0403,PAY0403,2026-08-06,CREDIT,10000
LED0404,PAY0404,2026-08-05,CREDIT,2500
LED0405,PAY0405,2026-08-05,CREDIT,1500
LED0406,PAY0406,2026-08-02,CREDIT,1500
LED0407,PAY0407,2026-08-06,CREDIT,750
LED0408,PAY0408,2026-08-09,CREDIT,1000
LED0409,PAY0409,2026-08-04,CREDIT,1500
LED0410,PAY0410,2026-08-08,CREDIT,2500
LED0411,PAY0411,2026-08-10,CREDIT,15000
LED0412,PAY0412,2026-08-10,CREDIT,2500
LED0413,PAY0413,2026-08-02,CREDIT,1500
LED0414,PAY0414,2026-08-05,CREDIT,1500
LED0415,PAY0415,2026-08-06,CREDIT,1000
LED0416,PAY0416,2026-08-05,CREDIT,500
LED0417,PAY0417,2026-08-09,CREDIT,1000
LED0418,PAY0418,2026-08-05,CREDIT,500
LED0419,PAY0419,2026-08-01,CREDIT,15000
LED0420,PAY0420,2026-08-05,CREDIT,1000
LED0421,PAY0421,2026-08-11,CREDIT,10000
LED0422,PAY0422,2026-08-02,CREDIT,500
LED0423,PAY0423,2026-08-10,CREDIT,2500
LED0424,PAY0424,2026-08-08,CREDIT,10000
LED0425,PAY0425,2026-08-08,CREDIT,5000
LED0426,PAY0426,2026-08-03,CREDIT,500
LED0427,PAY0427,2026-08-05,CREDIT,10000
LED0428,PAY0428,2026-08-02,CREDIT,750
LED0429,PAY0429,2026-08-07,CREDIT,10000
LED0430,PAY0430,2026-08-02,CREDIT,20000
LED0431,PAY0431,2026-08-11,CREDIT,500
LED0432,PAY0432,2026-08-03,CREDIT,1000
LED0433,PAY0433,2026-08-10,CREDIT,2500
LED0434,PAY0434,2026-08-02,CREDIT,1500
LED0435,PAY0435,2026-08-02,CREDIT,15000
LED0436,PAY0436,2026-08-07,CREDIT,20000
LED0437,PAY0437,2026-08-10,CREDIT,20000
LED0438,PAY0438,2026-08-04,CREDIT,15000
LED0439,PAY0439,2026-08-07,CREDIT,10000
LED0440,PAY0440,2026-08-08,CREDIT,2500
LED0441,PAY0441,2026-08-10,CREDIT,7500
LED0442,PAY0442,2026-08-05,CREDIT,20000
LED0443,PAY0443,2026-08-10,CREDIT,500
LED0444,PAY0444,2026-08-10,CREDIT,750
LED0445,PAY0445,2026-08-04,CREDIT,1500
LED0446,PAY0446,2026-08-05,CREDIT,750
LED0447,PAY0447,2026-08-03,CREDIT,1500
LED0448,PAY0448,2026-08-03,CREDIT,15000
LED0449,PAY0449,2026-08-02,CREDIT,1000
LED0450,PAY0450,2026-08-01,CREDIT,7500
LED0451,PAY0451,2026-08-08,CREDIT,20000
LED0452,PAY0452,2026-08-08,CREDIT,2500
LED0453,PAY0453,2026-08-01,CREDIT,1500
LED0454,PAY0454,2026-08-05,CREDIT,2500
LED0455,PAY0455,2026-08-08,CREDIT,750
LED0456,PAY0456,2026-08-11,CREDIT,1500
LED0457,PAY0457,2026-08-05,CREDIT,20000
LED0458,PAY0458,2026-08-11,CREDIT,1500
LED0459,PAY0459,2026-08-07,CREDIT,750
LED0460,PAY0460,2026-08-09,CREDIT,1500
LED0461,PAY0461,2026-08-11,CREDIT,1000
LED0462,PAY0462,2026-08-05,CREDIT,1000
LED0463,PAY0463,2026-08-02,CREDIT,500
LED0464,PAY0464,2026-08-03,CREDIT,2500
LED0465,PAY0465,2026-08-10,CREDIT,20000
LED0466,PAY0466,2026-08-05,CREDIT,10000
LED0467,PAY0467,2026-08-02,CREDIT,10000
LED0468,PAY0468,2026-08-05,CREDIT,7500
LED0469,PAY0469,2026-08-05,CREDIT,15000
LED0470,PAY0470,2026-08-09,CREDIT,10000
LED0471,PAY0471,2026-08-08,CREDIT,750
LED0472,PAY0472,2026-08-10,CREDIT,500
LED0473,PAY0473,2026-08-07,CREDIT,5000
LED0474,PAY0474,2026-08-10,CREDIT,2500
LED0475,PAY0475,2026-08-01,CREDIT,750
LED0476,PAY0476,2026-08-04,CREDIT,20000
LED0477,PAY0477,2026-08-10,CREDIT,500
LED0478,PAY0478,2026-08-11,CREDIT,2500
LED0479,PAY0479,2026-08-10,CREDIT,500
LED0480,PAY0480,2026-08-03,CREDIT,10000
LED0481,PAY0481,2026-08-09,CREDIT,10000
LED0482,PAY0482,2026-08-05,CREDIT,1000
LED0483,PAY0483,2026-08-10,CREDIT,7500
LED0484,PAY0484,2026-08-11,CREDIT,10000
LED0485,PAY0485,2026-08-02,CREDIT,10000
LED0486,PAY0486,2026-08-06,CREDIT,7500
LED0487,PAY0487,2026-08-06,CREDIT,5000
LED0488,PAY0488,2026-08-11,CREDIT,750
LED0489,PAY0489,2026-08-03,CREDIT,5000
LED0490,PAY0490,2026-08-07,CREDIT,10000
LED0491,PAY0491,2026-08-05,CREDIT,7500
LED0492,PAY0492,2026-08-09,CREDIT,500
LED0493,PAY0493,2026-08-08,CREDIT,750
LED0494,PAY0494,2026-08-06,CREDIT,2500
LED0495,PAY0495,2026-08-06,CREDIT,750
LED0496,PAY0496,2026-08-07,CREDIT,15000
LED0497,PAY0497,2026-08-01,CREDIT,15000
LED0498,PAY0498,2026-08-08,CREDIT,7500
LED0499,PAY0499,2026-08-01,CREDIT,1500
LED0500,PAY0500,2026-08-09,CREDIT,5000
