payment_id,expected_status,expected_exception
PAY0153,MATCHED,
PAY0154,MATCHED,
PAY0155,MATCHED,
PAY0156,MATCHED,
PAY0157,MATCHED,
PAY0158,MATCHED,
PAY0159,MATCHED,
PAY0160,MATCHED,
PAY0161,MATCHED,
PAY0162,MATCHED,
PAY0163,MATCHED,
PAY0164,MATCHED,
PAY0165,MATCHED,
PAY0166,MATCHED,
PAY0167,MATCHED,
PAY0168,MATCHED,
PAY0169,MATCHED,
PAY0170,MATCHED,
PAY0171,MATCHED,
PAY0172,MATCHED,
PAY0173,MATCHED,
PAY0174,MATCHED,
PAY0175,MATCHED,
PAY0176,EXCEPTION,DATE_MISMATCH
PAY0177,MATCHED,
PAY0178,EXCEPTION,DUPLICATE_BANK_TRANSACTION
PAY0179,MATCHED,
PAY0180,MATCHED,
PAY0181,MATCHED,
PAY0182,EXCEPTION,BANK_AMOUNT_MISMATCH
PAY0183,MATCHED,
PAY0184,MATCHED,
PAY0185,MATCHED,
PAY0186,MATCHED,
PAY0187,MATCHED,
PAY0188,MATCHED,
PAY0189,MATCHED,
PAY0190,MATCHED,
PAY0191,EXCEPTION,UTR_MISMATCH
PAY0192,MATCHED,
PAY0193,MATCHED,
PAY0194,MATCHED,
PAY0195,MATCHED,
PAY0196,MATCHED,
PAY0197,MATCHED,
PAY0198,MATCHED,
PAY0199,EXCEPTION,UTR_MISMATCH
PAY0200,MATCHED,
PAY0201,MATCHED,
PAY0202,MATCHED,
PAY0203,MATCHED,
PAY0204,MATCHED,
PAY0205,EXCEPTION,DATE_MISMATCH
PAY0206,MATCHED,
PAY0207,EXCEPTION,BANK_AMOUNT_MISMATCH
PAY0208,MATCHED,
PAY0209,MATCHED,
PAY0210,MATCHED,
PAY0211,MATCHED,
PAY0212,EXCEPTION,BANK_AMOUNT_MISMATCH
PAY0213,MATCHED,
PAY0214,EXCEPTION,MISSING_SETTLEMENT
PAY0215,MATCHED,
PAY0216,EXCEPTION,BANK_AMOUNT_MISMATCH
PAY0217,MATCHED,
PAY0218,MATCHED,
PAY0219,MATCHED,
PAY0220,MATCHED,
PAY0221,MATCHED,
PAY0222,EXCEPTION,FEE_MISMATCH
PAY0223,MATCHED,
PAY0224,EXCEPTION,MISSING_SETTLEMENT
PAY0225,MATCHED,
PAY0226,MATCHED,
PAY0227,MATCHED,
PAY0228,MATCHED,
PAY0229,MATCHED,
PAY0230,MATCHED,
PAY0231,MATCHED,
PAY0232,MATCHED,
PAY0233,MATCHED,
PAY0234,MATCHED,
PAY0235,MATCHED,
PAY0236,MATCHED,
PAY0237,MATCHED,
PAY0238,MATCHED,
PAY0239,MATCHED,
PAY0240,MATCHED,
PAY0241,MATCHED,
PAY0242,MATCHED,
PAY0243,MATCHED,
PAY0244,MATCHED,
PAY0245,MATCHED,
PAY0246,MATCHED,
PAY0247,MATCHED,
PAY0248,MATCHED,
PAY0249,MATCHED,
PAY0250,MATCHED,
PAY0251,MATCHED,
PAY0252,MATCHED,
PAY0253,MATCHED,
PAY0254,MATCHED,
PAY0255,MATCHED,
PAY0256,MATCHED,
PAY0257,MATCHED,
PAY0258,MATCHED,
PAY0259,MATCHED,
PAY0260,MATCHED,
PAY0261,MATCHED,
PAY0262,MATCHED,
PAY0263,MATCHED,
PAY0264,MATCHED,
PAY0265,EXCEPTION,FEE_MISMATCH
PAY0266,EXCEPTION,DUPLICATE_BANK_TRANSACTION
PAY0267,MATCHED,
PAY0268,MATCHED,
PAY0269,MATCHED,
PAY0270,MATCHED,
PAY0271,MATCHED,
PAY0272,MATCHED,
PAY0273,MATCHED,
PAY0274,MATCHED,
PAY0275,MATCHED,
PAY0276,MATCHED,
PAY0277,EXCEPTION,UTR_MISMATCH
PAY0278,MATCHED,
PAY0279,MATCHED,
PAY0280,MATCHED,
PAY0281,EXCEPTION,FEE_MISMATCH
PAY0282,MATCHED,
PAY0283,MATCHED,
PAY0284,EXCEPTION,MISSING_SETTLEMENT
PAY0285,MATCHED,
PAY0286,MATCHED,
PAY0287,EXCEPTION,DATE_MISMATCH
PAY0288,MATCHED,
PAY0289,MATCHED,
PAY0290,MATCHED,
PAY0291,MATCHED,
PAY0292,MATCHED,
PAY0293,MATCHED,
PAY0294,MATCHED,
PAY0295,EXCEPTION,MISSING_SETTLEMENT
PAY0296,EXCEPTION,DUPLICATE_BANK_TRANSACTION
PAY0297,MATCHED,
PAY0298,MATCHED,
PAY0299,MATCHED,
PAY0300,MATCHED,
PAY0301,MATCHED,
PAY0302,MATCHED,
PAY0303,MATCHED,
PAY0304,MATCHED,
PAY0305,MATCHED,
PAY0306,MATCHED,
PAY0307,MATCHED,
PAY0308,MATCHED,
PAY0309,MATCHED,
PAY0310,EXCEPTION,DUPLICATE_BANK_TRANSACTION
PAY0311,MATCHED,
PAY0312,MATCHED,
PAY0313,MATCHED,
PAY0314,MATCHED,
PAY0315,MATCHED,
PAY0316,EXCEPTION,FEE_MISMATCH
PAY0317,MATCHED,
PAY0318,MATCHED,
PAY0319,MATCHED,
PAY0320,MATCHED,
PAY0321,MATCHED,
PAY0322,MATCHED,
PAY0323,MATCHED,
PAY0324,MATCHED,
PAY0325,MATCHED,
PAY0326,EXCEPTION,BANK_AMOUNT_MISMATCH
PAY0327,EXCEPTION,UTR_MISMATCH
PAY0328,MATCHED,
PAY0329,MATCHED,
PAY0330,MATCHED,
PAY0331,MATCHED,
PAY0332,MATCHED,
PAY0333,MATCHED,
PAY0334,MATCHED,
PAY0335,MATCHED,
PAY0336,MATCHED,
PAY0337,MATCHED,
PAY0338,MATCHED,
PAY0339,MATCHED,
PAY0340,MATCHED,
PAY0341,MATCHED,
PAY0342,MATCHED,
PAY0343,MATCHED,
PAY0344,MATCHED,
PAY0345,MATCHED,
PAY0346,MATCHED,
PAY0347,MATCHED,
PAY0348,MATCHED,
PAY0349,EXCEPTION,DATE_MISMATCH
PAY0350,EXCEPTION,DUPLICATE_BANK_TRANSACTION
PAY0351,MATCHED,
PAY0352,MATCHED,
PAY0353,MATCHED,
PAY0354,MATCHED,
PAY0355,MATCHED,
PAY0356,MATCHED,
PAY0357,MATCHED,
PAY0358,MATCHED,
PAY0359,MATCHED,
PAY0360,MATCHED,
PAY0361,EXCEPTION,DUPLICATE_BANK_TRANSACTION
PAY0362,MATCHED,
PAY0363,MATCHED,
PAY0364,MATCHED,
PAY0365,MATCHED,
PAY0366,MATCHED,
PAY0367,MATCHED,
PAY0368,MATCHED,
PAY0369,MATCHED,
PAY0370,MATCHED,
PAY0371,MATCHED,
PAY0372,MATCHED,
PAY0373,MATCHED,
PAY0374,MATCHED,
PAY0375,MATCHED,
PAY0376,MATCHED,
PAY0377,MATCHED,
PAY0378,MATCHED,
PAY0379,MATCHED,
PAY0380,MATCHED,
PAY0381,MATCHED,
PAY0382,MATCHED,
PAY0383,MATCHED,
PAY0384,MATCHED,
PAY0385,MATCHED,
PAY0386,MATCHED,
PAY0387,MATCHED,
PAY0388,MATCHED,
PAY0389,MATCHED,
PAY0390,MATCHED,
PAY0391,MATCHED,
PAY0392,MATCHED,
PAY0393,MATCHED,
PAY0394,MATCHED,
PAY0395,MATCHED,
PAY0396,MATCHED,
PAY0397,MATCHED,
PAY0398,MATCHED,
PAY0399,MATCHED,
PAY0400,MATCHED,
PAY0401,MATCHED,
PAY0402,MATCHED,
PAY0403,MATCHED,
PAY0404,MATCHED,
PAY0405,MATCHED,
PAY0406,MATCHED,
PAY0407,MATCHED,
PAY0408,MATCHED,
PAY0409,MATCHED,
PAY0410,MATCHED,
PAY0411,EXCEPTION,DUPLICATE_BANK_TRANSACTION
PAY0412,EXCEPTION,MISSING_SETTLEMENT
PAY0413,MATCHED,
PAY0414,MATCHED,
PAY0415,MATCHED,
PAY0416,MATCHED,
PAY0417,EXCEPTION,DUPLICATE_BANK_TRANSACTION
PAY0418,MATCHED,
PAY0419,MATCHED,
PAY0420,MATCHED,
PAY0421,MATCHED,
PAY0422,MATCHED,
PAY0423,EXCEPTION,BANK_AMOUNT_MISMATCH
PAY0424,EXCEPTION,UTR_MISMATCH
PAY0425,MATCHED,
PAY0426,MATCHED,
PAY0427,MATCHED,
PAY0428,MATCHED,
PAY0429,EXCEPTION,UTR_MISMATCH
PAY0430,MATCHED,
PAY0431,MATCHED,
PAY0432,EXCEPTION,FEE_MISMATCH
PAY0433,MATCHED,
PAY0434,MATCHED,
PAY0435,MATCHED,
PAY0436,MATCHED,
PAY0437,MATCHED,
PAY0438,MATCHED,
PAY0439,MATCHED,
PAY0440,MATCHED,
PAY0441,MATCHED,
PAY0442,EXCEPTION,MISSING_SETTLEMENT
PAY0443,MATCHED,
PAY0444,MATCHED,
PAY0445,MATCHED,
PAY0446,MATCHED,
PAY0447,MATCHED,
PAY0448,MATCHED,
PAY0449,MATCHED,
PAY0450,MATCHED,
PAY0451,MATCHED,
PAY0452,MATCHED,
PAY0453,MATCHED,
PAY0454,MATCHED,
PAY0455,MATCHED,
PAY0456,MATCHED,
PAY0457,MATCHED,
PAY0458,MATCHED,
PAY0459,MATCHED,
PAY0460,MATCHED,
PAY0461,MATCHED,
PAY0462,MATCHED,
PAY0463,MATCHED,
PAY0464,MATCHED,
PAY0465,MATCHED,
PAY0466,MATCHED,
PAY0467,MATCHED,
PAY0468,EXCEPTION,UTR_MISMATCH
PAY0469,EXCEPTION,MISSING_SETTLEMENT
PAY0470,EXCEPTION,BANK_AMOUNT_MISMATCH
PAY0471,MATCHED,
PAY0472,MATCHED,
PAY0473,MATCHED,
PAY0474,MATCHED,
PAY0475,MATCHED,
PAY0476,EXCEPTION,FEE_MISMATCH
PAY0477,MATCHED,
PAY0478,MATCHED,
PAY0479,MATCHED,
PAY0480,MATCHED,
PAY0481,EXCEPTION,FEE_MISMATCH
PAY0482,MATCHED,
PAY0483,MATCHED,
PAY0484,EXCEPTION,UTR_MISMATCH
PAY0485,MATCHED,
PAY0486,EXCEPTION,MISSING_SETTLEMENT
PAY0487,MATCHED,
PAY0488,MATCHED,
PAY0489,MATCHED,
PAY0490,MATCHED,
PAY0491,EXCEPTION,UTR_MISMATCH
PAY0492,MATCHED,
PAY0493,MATCHED,
PAY0494,EXCEPTION,FEE_MISMATCH
PAY0495,MATCHED,
PAY0496,MATCHED,
PAY0497,MATCHED,
PAY0498,MATCHED,
PAY0499,EXCEPTION,DUPLICATE_BANK_TRANSACTION
PAY0500,MATCHED,
