settlement_id,payment_id,utr,date,gross_amount,fee,tax,net_amount
SET0068,PAY0068,UTR000068,2026-08-11,500,10.0,1.8,488.2
SET0070,PAY0070,UTR000070,2026-08-13,15000,300.0,54.0,14646.0
SET0071,PAY0071,UTR000071,2026-08-07,5000,100.0,18.0,4882.0
SET0072,PAY0072,UTR000072,2026-08-04,2500,50.0,9.0,2441.0
SET0073,PAY0073,UTR000073,2026-08-09,1000,20.0,3.6,976.4
SET0074,PAY0074,UTR000074,2026-08-10,500,10.0,1.8,488.2
SET0075,PAY0075,UTR000075,2026-08-07,15000,300.0,54.0,14646.0
SET0076,PAY0076,UTR000076,2026-08-05,15000,300.0,54.0,14646.0
SET0077,PAY0077,UTR000077,2026-08-04,2500,50.0,9.0,2441.0
SET0078,PAY0078,UTR000078,2026-08-13,15000,300.0,54.0,14646.0
SET0079,PAY0079,UTR000079,2026-08-12,1500,30.0,5.4,1464.6
SET0080,PAY0080,UTR000080,2026-08-05,5000,100.0,18.0,4882.0
SET0081,PAY0081,UTR000081,2026-08-05,15000,300.0,54.0,14646.0
SET0082,PAY0082,UTR000082,2026-08-11,500,10.0,1.8,488.2
SET0083,PAY0083,UTR000083,2026-08-12,5000,100.0,18.0,4882.0
SET0084,PAY0084,UTR000084,2026-08-10,500,10.0,1.8,488.2
SET0085,PAY0085,UTR000085,2026-08-04,5000,100.0,18.0,4882.0
SET0086,PAY0086,UTR000086,2026-08-07,1500,30.0,5.4,1464.6
SET0088,PAY0088,UTR000088,2026-08-12,750,15.0,2.7,732.3
SET0089,PAY0089,UTR000089,2026-08-04,10000,200.0,36.0,9764.0
SET0090,PAY0090,UTR000090,2026-08-04,15000,300.0,54.0,14646.0
SET0091,PAY0091,UTR000091,2026-08-05,1000,20.0,3.6,976.4
SET0092,PAY0092,UTR000092,2026-08-13,10000,200.0,36.0,9764.0
SET0093,PAY0093,UTR000093,2026-08-11,1000,20.0,3.6,976.4
SET0094,PAY0094,UTR000094,2026-08-07,15000,300.0,54.0,14646.0
SET0095,PAY0095,UTR000095,2026-08-12,7500,150.0,27.0,7323.0
SET0096,PAY0096,UTR000096,2026-08-06,15000,300.0,54.0,14646.0
SET0097,PAY0097,UTR000097,2026-08-06,2500,50.0,9.0,2441.0
SET0098,PAY0098,UTR000098,2026-08-09,5000,100.0,18.0,4882.0
SET0099,PAY0099,UTR000099,2026-08-10,15000,300.0,54.0,14646.0
SET0100,PAY0100,UTR000100,2026-08-10,750,15.0,2.7,732.3
SET0101,PAY0101,UTR000101,2026-08-06,1500,30.0,5.4,1464.6
SET0102,PAY0102,UTR000102,2026-08-04,5000,100.0,18.0,4882.0
SET0103,PAY0103,UTR000103,2026-08-03,20000,400.0,72.0,19528.0
SET0104,PAY0104,UTR000104,2026-08-11,1500,30.0,5.4,1464.6
SET0105,PAY0105,UTR000105,2026-08-12,1500,30.0,5.4,1464.6
SET0106,PAY0106,UTR000106,2026-08-03,750,315.0,2.7,432.29999999999995
SET0107,PAY0107,UTR000107,2026-08-13,500,10.0,1.8,488.2
SET0108,PAY0108,UTR000108,2026-08-06,750,15.0,2.7,732.3
SET0109,PAY0109,UTR000109,2026-08-03,5000,100.0,18.0,4882.0
SET0110,PAY0110,UTR000110,2026-08-04,15000,300.0,54.0,14646.0
SET0111,PAY0111,UTR000111,2026-08-06,2500,50.0,9.0,2441.0
SET0112,PAY0112,UTR000112,2026-08-13,10000,200.0,36.0,9764.0
SET0113,PAY0113,UTR000113,2026-08-06,15000,300.0,54.0,14646.0
SET0114,PAY0114,UTR000114,2026-08-05,20000,400.0,72.0,19528.0
SET0115,PAY0115,UTR000115,2026-08-12,10000,200.0,36.0,9764.0
SET0116,PAY0116,UTR000116,2026-08-06,10000,200.0,36.0,9764.0
SET0117,PAY0117,UTR000117,2026-08-09,1500,30.0,5.4,1464.6
SET0118,PAY0118,UTR000118,2026-08-04,750,15.0,2.7,732.3
SET0119,PAY0119,UTR000119,2026-08-13,7500,150.0,27.0,7323.0
SET0120,PAY0120,UTR000120,2026-08-08,7500,150.0,27.0,7323.0
SET0121,PAY0121,UTR000121,2026-08-09,10000,200.0,36.0,9764.0
SET0122,PAY0122,UTR000122,2026-08-03,750,15.0,2.7,732.3
SET0123,PAY0123,UTR000123,2026-08-03,7500,150.0,27.0,7323.0
SET0124,PAY0124,UTR000124,2026-08-08,750,15.0,2.7,732.3
SET0125,PAY0125,UTR000125,2026-08-06,1500,30.0,5.4,1464.6
SET0126,PAY0126,UTR000126,2026-08-06,15000,300.0,54.0,14646.0
SET0127,PAY0127,UTR000127,2026-08-10,1000,20.0,3.6,976.4
SET0128,PAY0128,UTR000128,2026-08-09,1000,20.0,3.6,976.4
SET0129,PAY0129,UTR000129,2026-08-07,10000,200.0,36.0,9764.0
SET0130,PAY0130,UTR000130,2026-08-06,750,15.0,2.7,732.3
SET0131,PAY0131,UTR000131,2026-08-10,15000,300.0,54.0,14646.0
SET0132,PAY0132,UTR000132,2026-08-04,500,10.0,1.8,488.2
SET0133,PAY0133,UTR000133,2026-08-13,15000,300.0,54.0,14646.0
SET0134,PAY0134,UTR000134,2026-08-03,750,15.0,2.7,732.3
SET0135,PAY0135,UTR000135,2026-08-06,1000,20.0,3.6,976.4
SET0136,PAY0136,UTR000136,2026-08-09,10000,200.0,36.0,9764.0
SET0137,PAY0137,UTR000137,2026-08-10,1500,30.0,5.4,1464.6
SET0138,PAY0138,UTR000138,2026-08-09,500,10.0,1.8,488.2
SET0139,PAY0139,UTR000139,2026-08-05,7500,150.0,27.0,7323.0
SET0140,PAY0140,UTR000140,2026-08-03,7500,150.0,27.0,7323.0
SET0141,PAY0141,UTR000141,2026-08-07,10000,200.0,36.0,9764.0
SET0142,PAY0142,UTR000142,2026-08-07,7500,150.0,27.0,7323.0
SET0143,PAY0143,UTR000143,2026-08-11,10000,200.0,36.0,9764.0
SET0144,PAY0144,UTR000144,2026-08-05,1500,30.0,5.4,1464.6
SET0145,PAY0145,UTR000145,2026-08-07,1500,30.0,5.4,1464.6
SET0146,PAY0146,UTR000146,2026-08-03,20000,400.0,72.0,19528.0
SET0147,PAY0147,UTR000147,2026-08-11,500,10.0,1.8,488.2
SET0148,PAY0148,UTR000148,2026-08-08,500,10.0,1.8,488.2
SET0149,PAY0149,UTR000149,2026-08-03,20000,400.0,72.0,19528.0
SET0150,PAY0150,UTR000150,2026-08-10,15000,300.0,54.0,14646.0
SET0151,PAY0151,UTR000151,2026-08-11,1000,20.0,3.6,976.4
SET0152,PAY0152,UTR000152,2026-08-03,15000,300.0,54.0,14646.0
SET0153,PAY0153,UTR000153,2026-08-04,1000,20.0,3.6,976.4
SET0154,PAY0154,UTR000154,2026-08-04,20000,400.0,72.0,19528.0
SET0155,PAY0155,UTR000155,2026-08-04,1500,30.0,5.4,1464.6
SET0156,PAY0156,UTR000156,2026-08-09,750,15.0,2.7,732.3
SET0157,PAY0157,UTR000157,2026-08-12,1500,30.0,5.4,1464.6
SET0158,PAY0158,UTR000158,2026-08-12,20000,400.0,72.0,19528.0
SET0159,PAY0159,UTR000159,2026-08-03,20000,400.0,72.0,19528.0
SET0160,PAY0160,UTR000160,2026-08-04,7500,150.0,27.0,7323.0
SET0161,PAY0161,UTR000161,2026-08-13,20000,400.0,72.0,19528.0
SET0162,PAY0162,UTR000162,2026-08-12,15000,300.0,54.0,14646.0
SET0163,PAY0163,UTR000163,2026-08-08,2500,50.0,9.0,2441.0
SET0164,PAY0164,UTR000164,2026-08-06,5000,100.0,18.0,4882.0
SET0165,PAY0165,UTR000165,2026-08-06,2500,50.0,9.0,2441.0
SET0166,PAY0166,UTR000166,2026-08-09,1000,20.0,3.6,976.4
SET0167,PAY0167,UTR000167,2026-08-13,2500,50.0,9.0,2441.0
SET0168,PAY0168,UTR000168,2026-08-10,5000,100.0,18.0,4882.0
SET0169,PAY0169,UTR000169,2026-08-04,500,10.0,1.8,488.2
SET0170,PAY0170,UTR000170,2026-08-10,20000,400.0,72.0,19528.0
SET0171,PAY0171,UTR000171,2026-08-12,750,15.0,2.7,732.3
SET0172,PAY0172,UTR000172,2026-08-04,15000,300.0,54.0,14646.0
SET0173,PAY0173,UTR000173,2026-08-06,15000,300.0,54.0,14646.0
SET0174,PAY0174,UTR000174,2026-08-07,1000,20.0,3.6,976.4
SET0175,PAY0175,UTR000175,2026-08-08,750,15.0,2.7,732.3
SET0176,PAY0176,UTR000176,2026-08-06,5000,100.0,18.0,4882.0
SET0177,PAY0177,UTR000177,2026-08-07,1000,20.0,3.6,976.4
SET0178,PAY0178,UTR000178,2026-08-10,15000,300.0,54.0,14646.0
SET0179,PAY0179,UTR000179,2026-08-07,20000,400.0,72.0,19528.0
SET0180,PAY0180,UTR000180,2026-08-13,15000,300.0,54.0,14646.0
SET0181,PAY0181,UTR000181,2026-08-03,15000,300.0,54.0,14646.0
SET0182,PAY0182,UTR000182,2026-08-07,750,15.0,2.7,732.3
SET0183,PAY0183,UTR000183,2026-08-05,2500,50.0,9.0,2441.0
SET0184,PAY0184,UTR000184,2026-08-04,750,15.0,2.7,732.3
SET0185,PAY0185,UTR000185,2026-08-11,1000,20.0,3.6,976.4
SET0186,PAY0186,UTR000186,2026-08-07,2500,50.0,9.0,2441.0
SET0187,PAY0187,UTR000187,2026-08-12,1500,30.0,5.4,1464.6
SET0188,PAY0188,UTR000188,2026-08-08,1500,30.0,5.4,1464.6
SET0189,PAY0189,UTR000189,2026-08-13,2500,50.0,9.0,2441.0
SET0190,PAY0190,UTR000190,2026-08-11,10000,200.0,36.0,9764.0
SET0191,PAY0191,UTR000191,2026-08-07,500,10.0,1.8,488.2
SET0192,PAY0192,UTR000192,2026-08-04,7500,150.0,27.0,7323.0
SET0193,PAY0193,UTR000193,2026-08-07,500,10.0,1.8,488.2
SET0194,PAY0194,UTR000194,2026-08-03,5000,100.0,18.0,4882.0
SET0195,PAY0195,UTR000195,2026-08-05,2500,50.0,9.0,2441.0
SET0196,PAY0196,UTR000196,2026-08-05,10000,200.0,36.0,9764.0
SET0197,PAY0197,UTR000197,2026-08-11,7500,150.0,27.0,7323.0
SET0198,PAY0198,UTR000198,2026-08-11,500,10.0,1.8,488.2
SET0199,PAY0199,UTR000199,2026-08-04,750,15.0,2.7,732.3
SET0200,PAY0200,UTR000200,2026-08-05,15000,300.0,54.0,14646.0
SET0201,PAY0201,UTR000201,2026-08-03,5000,100.0,18.0,4882.0
SET0202,PAY0202,UTR000202,2026-08-12,15000,300.0,54.0,14646.0
SET0203,PAY0203,UTR000203,2026-08-05,7500,150.0,27.0,7323.0
SET0204,PAY0204,UTR000204,2026-08-05,500,10.0,1.8,488.2
SET0205,PAY0205,UTR000205,2026-08-07,5000,100.0,18.0,4882.0
SET0206,PAY0206,UTR000206,2026-08-03,5000,100.0,18.0,4882.0
SET0207,PAY0207,UTR000207,2026-08-06,1500,30.0,5.4,1464.6
SET0208,PAY0208,UTR000208,2026-08-13,750,15.0,2.7,732.3
SET0209,PAY0209,UTR000209,2026-08-08,15000,300.0,54.0,14646.0
SET0210,PAY0210,UTR000210,2026-08-09,20000,400.0,72.0,19528.0
SET0211,PAY0211,UTR000211,2026-08-05,1500,30.0,5.4,1464.6
SET0212,PAY0212,UTR000212,2026-08-05,1000,20.0,3.6,976.4
SET0213,PAY0213,UTR000213,2026-08-09,500,10.0,1.8,488.2
SET0215,PAY0215,UTR000215,2026-08-09,1500,30.0,5.4,1464.6
SET0216,PAY0216,UTR000216,2026-08-07,1000,20.0,3.6,976.4
SET0217,PAY0217,UTR000217,2026-08-04,7500,150.0,27.0,7323.0
SET0218,PAY0218,UTR000218,2026-08-03,10000,200.0,36.0,9764.0
SET0219,PAY0219,UTR000219,2026-08-06,1500,30.0,5.4,1464.6
SET0220,PAY0220,UTR000220,2026-08-10,5000,100.0,18.0,4882.0
SET0221,PAY0221,UTR000221,2026-08-07,1500,30.0,5.4,1464.6
SET0222,PAY0222,UTR000222,2026-08-06,500,310.0,1.8,188.2
SET0223,PAY0223,UTR000223,2026-08-13,1500,30.0,5.4,1464.6
SET0225,PAY0225,UTR000225,2026-08-07,750,15.0,2.7,732.3
SET0226,PAY0226,UTR000226,2026-08-07,5000,100.0,18.0,4882.0
SET0227,PAY0227,UTR000227,2026-08-13,15000,300.0,54.0,14646.0
SET0228,PAY0228,UTR000228,2026-08-09,15000,300.0,54.0,14646.0
SET0229,PAY0229,UTR000229,2026-08-08,500,10.0,1.8,488.2
SET0230,PAY0230,UTR000230,2026-08-04,2500,50.0,9.0,2441.0
SET0231,PAY0231,UTR000231,2026-08-05,20000,400.0,72.0,19528.0
SET0232,PAY0232,UTR000232,2026-08-07,500,10.0,1.8,488.2
SET0233,PAY0233,UTR000233,2026-08-04,20000,400.0,72.0,19528.0
SET0234,PAY0234,UTR000234,2026-08-09,5000,100.0,18.0,4882.0
SET0235,PAY0235,UTR000235,2026-08-08,7500,150.0,27.0,7323.0
SET0236,PAY0236,UTR000236,2026-08-12,15000,300.0,54.0,14646.0
SET0237,PAY0237,UTR000237,2026-08-04,7500,150.0,27.0,7323.0
SET0238,PAY0238,UTR000238,2026-08-12,1500,30.0,5.4,1464.6
SET0239,PAY0239,UTR000239,2026-08-07,500,10.0,1.8,488.2
SET0240,PAY0240,UTR000240,2026-08-09,500,10.0,1.8,488.2
SET0241,PAY0241,UTR000241,2026-08-11,15000,300.0,54.0,14646.0
SET0242,PAY0242,UTR000242,2026-08-13,1500,30.0,5.4,1464.6
SET0243,PAY0243,UTR000243,2026-08-08,7500,150.0,27.0,7323.0
SET0244,PAY0244,UTR000244,2026-08-04,5000,100.0,18.0,4882.0
SET0245,PAY0245,UTR000245,2026-08-12,5000,100.0,18.0,4882.0
SET0246,PAY0246,UTR000246,2026-08-13,750,15.0,2.7,732.3
SET0247,PAY0247,UTR000247,2026-08-07,15000,300.0,54.0,14646.0
SET0248,PAY0248,UTR000248,2026-08-07,7500,150.0,27.0,7323.0
SET0249,PAY0249,UTR000249,2026-08-08,7500,150.0,27.0,7323.0
SET0250,PAY0250,UTR000250,2026-08-07,15000,300.0,54.0,14646.0
SET0251,PAY0251,UTR000251,2026-08-05,1500,30.0,5.4,1464.6
SET0252,PAY0252,UTR000252,2026-08-09,7500,150.0,27.0,7323.0
SET0253,PAY0253,UTR000253,2026-08-13,1000,20.0,3.6,976.4
SET0254,PAY0254,UTR000254,2026-08-12,20000,400.0,72.0,19528.0
SET0255,PAY0255,UTR000255,2026-08-07,7500,150.0,27.0,7323.0
SET0256,PAY0256,UTR000256,2026-08-11,500,10.0,1.8,488.2
SET0257,PAY0257,UTR000257,2026-08-07,2500,50.0,9.0,2441.0
SET0258,PAY0258,UTR000258,2026-08-06,7500,150.0,27.0,7323.0
SET0259,PAY0259,UTR000259,2026-08-12,20000,400.0,72.0,19528.0
SET0260,PAY0260,UTR000260,2026-08-13,5000,100.0,18.0,4882.0
SET0261,PAY0261,UTR000261,2026-08-10,10000,200.0,36.0,9764.0
SET0262,PAY0262,UTR000262,2026-08-10,1500,30.0,5.4,1464.6
SET0263,PAY0263,UTR000263,2026-08-11,10000,200.0,36.0,9764.0
SET0264,PAY0264,UTR000264,2026-08-05,750,15.0,2.7,732.3
SET0265,PAY0265,UTR000265,2026-08-07,15000,600.0,54.0,14346.0
SET0266,PAY0266,UTR000266,2026-08-13,20000,400.0,72.0,19528.0
SET0267,PAY0267,UTR000267,2026-08-08,750,15.0,2.7,732.3
SET0268,PAY0268,UTR000268,2026-08-06,2500,50.0,9.0,2441.0
SET0269,PAY0269,UTR000269,2026-08-06,1500,30.0,5.4,1464.6
SET0270,PAY0270,UTR000270,2026-08-05,500,10.0,1.8,488.2
SET0271,PAY0271,UTR000271,2026-08-03,1500,30.0,5.4,1464.6
SET0272,PAY0272,UTR000272,2026-08-10,20000,400.0,72.0,19528.0
SET0273,PAY0273,UTR000273,2026-08-04,10000,200.0,36.0,9764.0
SET0274,PAY0274,UTR000274,2026-08-09,20000,400.0,72.0,19528.0
SET0275,PAY0275,UTR000275,2026-08-06,7500,150.0,27.0,7323.0
SET0276,PAY0276,UTR000276,2026-08-10,7500,150.0,27.0,7323.0
SET0277,PAY0277,UTR000277,2026-08-06,1000,20.0,3.6,976.4
SET0278,PAY0278,UTR000278,2026-08-13,500,10.0,1.8,488.2
SET0279,PAY0279,UTR000279,2026-08-04,7500,150.0,27.0,7323.0
SET0280,PAY0280,UTR000280,2026-08-06,1000,20.0,3.6,976.4
SET0281,PAY0281,UTR000281,2026-08-11,10000,500.0,36.0,9464.0
SET0282,PAY0282,UTR000282,2026-08-03,15000,300.0,54.0,14646.0
SET0283,PAY0283,UTR000283,2026-08-06,750,15.0,2.7,732.3
SET0285,PAY0285,UTR000285,2026-08-10,15000,300.0,54.0,14646.0
SET0286,PAY0286,UTR000286,2026-08-11,20000,400.0,72.0,19528.0
SET0287,PAY0287,UTR000287,2026-08-08,10000,200.0,36.0,9764.0
SET0288,PAY0288,UTR000288,2026-08-12,15000,300.0,54.0,14646.0
SET0289,PAY0289,UTR000289,2026-08-09,15000,300.0,54.0,14646.0
SET0290,PAY0290,UTR000290,2026-08-10,1000,20.0,3.6,976.4
SET0291,PAY0291,UTR000291,2026-08-10,10000,200.0,36.0,9764.0
SET0292,PAY0292,UTR000292,2026-08-07,1500,30.0,5.4,1464.6
SET0293,PAY0293,UTR000293,2026-08-13,2500,50.0,9.0,2441.0
SET0294,PAY0294,UTR000294,2026-08-11,10000,200.0,36.0,9764.0
SET0296,PAY0296,UTR000296,2026-08-07,10000,200.0,36.0,9764.0
SET0297,PAY0297,UTR000297,2026-08-04,2500,50.0,9.0,2441.0
SET0298,PAY0298,UTR000298,2026-08-06,2500,50.0,9.0,2441.0
SET0299,PAY0299,UTR000299,2026-08-08,5000,100.0,18.0,4882.0
SET0300,PAY0300,UTR000300,2026-08-11,750,15.0,2.7,732.3
SET0301,PAY0301,UTR000301,2026-08-05,1000,20.0,3.6,976.4
SET0302,PAY0302,UTR000302,2026-08-06,7500,150.0,27.0,7323.0
SET0303,PAY0303,UTR000303,2026-08-05,1500,30.0,5.4,1464.6
SET0304,PAY0304,UTR000304,2026-08-04,7500,150.0,27.0,7323.0
SET0305,PAY0305,UTR000305,2026-08-09,5000,100.0,18.0,4882.0
SET0306,PAY0306,UTR000306,2026-08-11,10000,200.0,36.0,9764.0
SET0307,PAY0307,UTR000307,2026-08-09,500,10.0,1.8,488.2
SET0308,PAY0308,UTR000308,2026-08-06,7500,150.0,27.0,7323.0
SET0309,PAY0309,UTR000309,2026-08-09,20000,400.0,72.0,19528.0
SET0310,PAY0310,UTR000310,2026-08-03,20000,400.0,72.0,19528.0
SET0311,PAY0311,UTR000311,2026-08-09,10000,200.0,36.0,9764.0
SET0312,PAY0312,UTR000312,2026-08-03,5000,100.0,18.0,4882.0
SET0313,PAY0313,UTR000313,2026-08-07,7500,150.0,27.0,7323.0
SET0314,PAY0314,UTR000314,2026-08-09,15000,300.0,54.0,14646.0
SET0315,PAY0315,UTR000315,2026-08-11,20000,400.0,72.0,19528.0
SET0316,PAY0316,UTR000316,2026-08-06,10000,500.0,36.0,9464.0
SET0317,PAY0317,UTR000317,2026-08-06,2500,50.0,9.0,2441.0
SET0318,PAY0318,UTR000318,2026-08-09,10000,200.0,36.0,9764.0
SET0319,PAY0319,UTR000319,2026-08-03,7500,150.0,27.0,7323.0
SET0320,PAY0320,UTR000320,2026-08-08,7500,150.0,27.0,7323.0
SET0321,PAY0321,UTR000321,2026-08-05,10000,200.0,36.0,9764.0
SET0322,PAY0322,UTR000322,2026-08-05,20000,400.0,72.0,19528.0
SET0323,PAY0323,UTR000323,2026-08-11,500,10.0,1.8,488.2
SET0324,PAY0324,UTR000324,2026-08-09,20000,400.0,72.0,19528.0
SET0325,PAY0325,UTR000325,2026-08-12,500,10.0,1.8,488.2
SET0326,PAY0326,UTR000326,2026-08-04,7500,150.0,27.0,7323.0
SET0327,PAY0327,UTR000327,2026-08-05,10000,200.0,36.0,9764.0
SET0328,PAY0328,UTR000328,2026-08-05,500,10.0,1.8,488.2
SET0329,PAY0329,UTR000329,2026-08-07,7500,150.0,27.0,7323.0
SET0330,PAY0330,UTR000330,2026-08-08,1500,30.0,5.4,1464.6
SET0331,PAY0331,UTR000331,2026-08-10,5000,100.0,18.0,4882.0
SET0332,PAY0332,UTR000332,2026-08-08,7500,150.0,27.0,7323.0
SET0333,PAY0333,UTR000333,2026-08-07,7500,150.0,27.0,7323.0
SET0334,PAY0334,UTR000334,2026-08-07,750,15.0,2.7,732.3
SET0335,PAY0335,UTR000335,2026-08-10,500,10.0,1.8,488.2
SET0336,PAY0336,UTR000336,2026-08-11,500,10.0,1.8,488.2
SET0337,PAY0337,UTR000337,2026-08-08,1500,30.0,5.4,1464.6
SET0338,PAY0338,UTR000338,2026-08-13,750,15.0,2.7,732.3
SET0339,PAY0339,UTR000339,2026-08-13,500,10.0,1.8,488.2
SET0340,PAY0340,UTR000340,2026-08-03,1500,30.0,5.4,1464.6
SET0341,PAY0341,UTR000341,2026-08-06,500,10.0,1.8,488.2
SET0342,PAY0342,UTR000342,2026-08-12,1000,20.0,3.6,976.4
SET0343,PAY0343,UTR000343,2026-08-06,1000,20.0,3.6,976.4
SET0344,PAY0344,UTR000344,2026-08-10,750,15.0,2.7,732.3
SET0345,PAY0345,UTR000345,2026-08-12,1500,30.0,5.4,1464.6
SET0346,PAY0346,UTR000346,2026-08-10,2500,50.0,9.0,2441.0
SET0347,PAY0347,UTR000347,2026-08-08,1000,20.0,3.6,976.4
SET0348,PAY0348,UTR000348,2026-08-12,20000,400.0,72.0,19528.0
SET0349,PAY0349,UTR000349,2026-08-04,1000,20.0,3.6,976.4
SET0350,PAY0350,UTR000350,2026-08-07,750,15.0,2.7,732.3
SET0351,PAY0351,UTR000351,2026-08-12,500,10.0,1.8,488.2
SET0352,PAY0352,UTR000352,2026-08-07,20000,400.0,72.0,19528.0
SET0353,PAY0353,UTR000353,2026-08-13,7500,150.0,27.0,7323.0
SET0354,PAY0354,UTR000354,2026-08-09,1500,30.0,5.4,1464.6
SET0355,PAY0355,UTR000355,2026-08-04,20000,400.0,72.0,19528.0
SET0356,PAY0356,UTR000356,2026-08-13,1500,30.0,5.4,1464.6
SET0357,PAY0357,UTR000357,2026-08-04,2500,50.0,9.0,2441.0
SET0358,PAY0358,UTR000358,2026-08-13,20000,400.0,72.0,19528.0
